agglosID,n1000000,n100000,n50000,n20000,n10000,n7500,n5000,n2500,n1500,n1000,n750,n500,n400,n300,n250,n200,n175,n150,n125,n100,n90,n80,n70,n60,n50,n40,n30,n20,n10,n5,n0,a1000000,a100000,a50000,a20000,a10000,a7500,a5000,a2500,a1500,a1000,a750,a500,a400,a300,a250,a200,a175,a150,a125,a100,a90,a80,a70,a60,a50,a40,a30,a20,a10,a5,a0,CITY,COUNTRY,NSMALL B
6749,0,0,0,0,0,0,0,0,0,0,0,0.000167884,0.000251826,0.000671535,0.001594896,0.002854025,0.003609502,0.00528834,0.008394191,0.014521951,0.018467221,0.024007387,0.033576765,0.048854193,0.077142617,0.125409217,0.222865777,0.456727944,0.713925963,0.961638546,11913,0,0,0,0,0,0,0,0,0,0,0,0.003960821,0.005519729,0.012141763,0.023057494,0.034816139,0.040892912,0.052341355,0.070545187,0.099819655,0.115780164,0.135915027,0.166526656,0.208729148,0.274700372,0.366410948,0.509922888,0.756698981,0.917523711,0.992600884,278509.8601,Niaogho,BFA,919
6750,0,0,0,0,0,0,0,0,0,0,0,0,0.000247954,0.001983635,0.003719316,0.007190677,0.010166129,0.013141582,0.025291346,0.056037689,0.076369948,0.101909249,0.150756261,0.212744855,0.293577982,0.394247458,0.503843293,0.649392512,0.862137367,0.989833871,4033,0,0,0,0,0,0,0,0,0,0,0,0,0.002804844,0.01730373,0.028774957,0.047535034,0.061554789,0.07325893,0.11420834,0.199053745,0.246927429,0.300601737,0.391443709,0.491137067,0.601499915,0.713054924,0.808075033,0.896001836,0.975136796,0.998910576,162202.5556,Niapidou,CIV,1184
6752,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-05,0.000584356,0.000834794,0.001669588,0.002086986,0.00292178,0.004591368,0.008014025,0.010601887,0.015026296,0.0231238,0.041823191,0.091994323,0.192920945,0.351698806,0.572001002,0.795892812,0.973286585,11979,0,0,0,0,0,0,0,0,0,0,0,0,0.001309886,0.007791515,0.010363334,0.017433871,0.020399,0.025419401,0.033963256,0.048100612,0.057319327,0.071320659,0.094023916,0.138928008,0.241534599,0.410484322,0.617194854,0.823381191,0.947904954,0.995411975,319027.8327,Nicurupo,MOZ,1102
6754,0,0,0,0,0,0,0,0.000229043,0.000229043,0.000687128,0.001603298,0.002977554,0.006642235,0.013742556,0.020384792,0.035272561,0.052450756,0.081768209,0.134218965,0.223087494,0.270499313,0.327301878,0.391891892,0.468850206,0.541456711,0.607879066,0.679340357,0.770041228,0.89349519,0.987631699,4366,0,0,0,0,0,0,0,0.008424722,0.008424722,0.016996046,0.028125589,0.03989314,0.062197378,0.096931177,0.122637751,0.170430242,0.216033079,0.283369493,0.384676041,0.524754657,0.588946033,0.656986951,0.7255581,0.796952643,0.853852466,0.89648335,0.932040912,0.963903409,0.989832911,0.999190422,307201.6224,Niefang,GNQ,2364
6755,0,0,0,0,0,0,0,0,0,0.000246245,0.00049249,0.001723713,0.003939916,0.01551342,0.02634819,0.050726422,0.078552081,0.114750062,0.173356316,0.255355824,0.283427727,0.309529672,0.340310268,0.374784536,0.420586063,0.468111303,0.534843635,0.646392514,0.820980054,0.975129279,4061,0,0,0,0,0,0,0,0,0,0.005233417,0.008346852,0.018846124,0.033351559,0.094344739,0.13913492,0.220995924,0.300296068,0.389548088,0.5110662,0.651971959,0.692338833,0.72595247,0.760999784,0.794986989,0.833168638,0.86570621,0.901007552,0.942855349,0.981457,0.998299597,266853.104,Nielle,CIV,1708
6758,0,0,0,0,0,0,0,0,0,0,0.000235313,0.001333438,0.002823751,0.009098753,0.017177818,0.035532199,0.050905953,0.077653149,0.121813476,0.200643188,0.245431014,0.297435093,0.356184799,0.425288258,0.503098282,0.572358616,0.647109577,0.740528669,0.870264334,0.98290062,12749,0,0,0,0,0,0,0,0,0,0,0.003036212,0.012833828,0.023029316,0.056324012,0.09044069,0.153336385,0.197872481,0.264832104,0.358081025,0.49386693,0.559750791,0.628201728,0.696136187,0.765756798,0.832445669,0.880905809,0.921279676,0.957126489,0.986217936,0.998841883,822114.3195,Nikki,BEN,6414
676,0,0,0,0,0,0,0,0,0,0.000352858,0.001058574,0.002470007,0.004234298,0.009174312,0.016584333,0.030698659,0.042342978,0.062103035,0.092801694,0.143613267,0.164431898,0.191249118,0.227593507,0.269230769,0.31686662,0.379675371,0.458362738,0.595271701,0.827099506,0.974241355,2834,0,0,0,0,0,0,0,0,0,0.007649525,0.020300026,0.036183915,0.05228584,0.085939772,0.125536682,0.18787151,0.231252555,0.294244963,0.376675264,0.489015262,0.528372917,0.573703304,0.627648953,0.681388712,0.733443993,0.788953024,0.84285059,0.909285041,0.976150474,0.997781217,142553.5258,al-Hamra,EGY,898
6761,0,0,0,0,0,0,0,0,0,0,0.000171527,0.000686106,0.002058319,0.008576329,0.018181818,0.044253859,0.066380789,0.098799314,0.150943396,0.220240137,0.252315609,0.289879931,0.327101201,0.370668954,0.413722127,0.46535163,0.537907376,0.647684391,0.839965695,0.97838765,5830,0,0,0,0,0,0,0,0,0,0,0.002154265,0.007104489,0.016957413,0.052436884,0.094480395,0.188581264,0.255657172,0.340725161,0.456448756,0.582451403,0.632033608,0.683886127,0.729232004,0.775354094,0.813897311,0.851711321,0.892681344,0.936425682,0.982067926,0.998453721,358156.7212,Nimra al-Basal,EGY,2412
6763,0,0,0,0,0,0,0,0,0,0.000148028,0.000222041,0.001036193,0.002294427,0.007031308,0.013618533,0.026422915,0.038931241,0.055510325,0.076530235,0.112352898,0.133372807,0.157279254,0.192361779,0.237658204,0.298793576,0.401006587,0.528458293,0.678780253,0.85596921,0.982680779,13511,0,0,0,0,0,0,0,0,0,0.003623665,0.004823978,0.014332778,0.0255975,0.058442521,0.095065145,0.153131325,0.201273614,0.256606898,0.315402424,0.397358228,0.438275969,0.480173288,0.534085046,0.594450455,0.663078028,0.756734263,0.848388307,0.925282453,0.979315949,0.998429126,656801.1056,Ningi,NGA,4037
6765,0,0,0,0,0,0,0,0,0,0.00020591,0.000411819,0.001441367,0.002882734,0.00514774,0.008339339,0.01564913,0.027900752,0.046638526,0.092144549,0.184803871,0.229074436,0.275815917,0.340574488,0.431792443,0.520848348,0.618140636,0.717183157,0.829300937,0.936682796,0.991763616,9713,0,0,0,0,0,0,0,0,0,0.00404757,0.006744145,0.016272578,0.026485234,0.038911962,0.052654468,0.078332612,0.114204448,0.161736851,0.259350158,0.422845886,0.489236166,0.552106076,0.628390927,0.721952491,0.799473727,0.868506637,0.92328465,0.967485837,0.993032162,0.999426084,614851.6727,Nioki,COD,5059
